	eng	cmn
9220	She looks pretty in that dress.	她穿上那件衣服看起來很漂亮。
7202	I usually take a shower in the evening.	我通常在晚上洗澡。
13770	You've got a visitor.	你有客人。
22405	The wheel doesn't turn.	輪子不轉。
25276	I've already tried that.	我已经试过那个了。
12374	The bill amounted to 100 dollars.	帐单金额高达100美元。
28213	I don't want to talk about it.	我不想谈论这个问题。
25010	I'm amazed at your fluency in English.	你流利的英语让我很吃惊。
19711	I'll tell my wife.	我會告訴我的妻子。
2406	Are you sure of your facts?	你確定你的資料屬實嗎？
3816	Where do I get the subway?	我在哪裡坐地鐵？
20805	He advised her to stop drinking.	他建議她戒酒。
21035	You should come home before six.	你應該六點前回家。
10546	When did this happen?	这事是什么时候发生的？
20336	Tomorrow's weather should be sunny with occasional rain.	明天天气晴转阵雨。
16535	She hit the ball hard.	她用力地拍了球。
3159	He is at his desk.	他在他的办公桌前。
5952	I think Tom is very cool.	我認為湯姆很酷。
22374	Are you saying you don't want to go to Tom's party?	你的意思是你不想去汤姆的派对？
28005	I need to find out when we need to be there.	我得知道我们什么时候要到那里。
14359	There isn't much traffic on this road.	这条路上的车辆不多。
4087	Don't tell anybody.	别跟任何人说哟。
4637	Ask your dad to help you.	請你父親幫你。
29254	The doctor called him back.	医生把他叫了回来。
1401	Who is that person?	那人谁啊？
23288	My blood type is A positive.	我的血型是A型血阳性。
19479	Tom gave Mary a box of chocolates, and then ate all the chocolates himself.	汤姆给了玛丽一盒巧克力，然后自己把全部巧克力都吃掉了。
7544	I have not finished breakfast yet.	我還沒吃完早飯。
9846	Mastering a foreign language is difficult.	掌握一门外语很难。
23566	I ache all over.	我全身酸痛。
23417	He fought against racial discrimination.	他反对种族歧视。
18785	He was listening to music.	他正在聽音樂。
17772	Put your guns down.	放下你的枪。
22735	My brother was injured in the car accident.	我哥在车祸中受伤了。
7183	He has three sons.	他有三个儿子。
1603	They were very excited.	他们非常兴奋。
16419	The situation went from bad to worse.	情況越來越糟糕。
8956	Prices are double what they were two years ago.	價格是兩年前的兩倍。
7335	She can't write or read.	她不会读书写字。
16039	I don't approve your decision.	我不同意你的決定。
14553	I want you to relax.	我要你放鬆一下。
17005	I think I'm right.	我想我是對的。
28161	We used to go to the movies on Saturday evening.	我们曾经总在星期六傍晚去看电影。
20119	We must avoid war at all cost.	我们应该不惜代价避免战争。
17584	This job doesn't pay.	这个工作没有酬劳。
19419	Do you think that my work is easy?	你觉得我的工作简单吗？
8463	We're not stupid.	我們不傻。
793	This is a comfortable chair.	这是张舒服的椅子。
8085	It is sometimes difficult to make yourself understood in public.	有時很難在公眾場合表達你自己的意思。
20245	The students all laughed.	學生都笑了。
16578	I went camping with my family.	我和家人去露營。
4976	I don't know how to put it in Japanese.	我不知道这个用日语该怎么说。
26038	I don't want to live alone.	我不想獨自生活。
22535	This is real easy.	这真的很简单。
24115	I went shopping last Saturday.	上週六我去購物。
3613	I go to church on Sunday.	周日我去做礼拜。
7325	Tom was the first to arrive and the last to leave.	湯姆最先來，最後走。
23651	I know that you don't want to be lonely.	我知道你不想一個人呆著。
20049	Can you really not swim?	你真的不會游泳嗎？
21765	You may leave your bag here.	你可以把你的袋子留在這裡。
16388	That red dress suited her.	那件紅色的洋裝適合她。
27075	He cut down a tree in his garden.	他砍了花园里的一棵树。
18039	I am looking for an assistant.	我正在找一個助手。
26524	My aunt sent me a birthday present.	我阿姨送了我一個生日禮物。
28637	Tom put his wallet on the table.	汤姆把钱包放在了桌子上。
22877	Tom told me I shouldn't ever do that.	湯姆說我絶不該做。
24915	Tom has lost his mind.	湯姆失去理智了。
28028	Put the book there.	把書放在那裡。
7506	This is a dangerous mission.	這是個危險的任務。
6018	The ship went up in flames.	船起了火。
12656	The box is almost empty.	盒子几乎是空的。
16544	I spent twelve hours on the train.	我在火车上待了12小时。
8006	Now's the time to decide whether you really want to get married or not.	现在是你决定是不是真要结婚的时候。
22006	Have you seen any movies lately?	最近看了什么电影没有？
28948	In my opinion, she is correct.	在我看來，她是正確的。
3196	I certainly wouldn't want to be seen with Tom.	我当然不想被人看见跟汤姆在一起。
17415	I like to play basketball.	我喜歡打籃球。
5535	Sewage often pollutes the ocean.	废水经常污染海洋。
21679	The village has no electricity.	村里没通电。
7395	The delegations of both countries met in Geneva.	两国代表团在日内瓦会面。
16322	I'd rather be a bird than a fish.	我寧願是一隻鳥勝過一條魚。
1130	How are things at work?	工作怎么样？
8633	Is that pure gold?	那是純金嗎？
13359	They are having a party tomorrow.	明天他們將舉行派對。
21474	They must have had an accident.	他們一定發生了意外。
16052	We bought a round table.	我们买了张圆桌。
8498	Tom denied having stolen the money.	Tom否认偷了钱。
6044	What is the title of your new book?	你新書的書名是什麼？
3197	When I opened the door, I broke the lock.	我开门的时候弄坏了锁。
15094	She asked us several questions.	她问了我们好几个问题。
11562	There was hardly anyone in the room.	房間裡幾乎沒有人。
23769	He said that if he knew her address, he would write to her.	他说如果他知道她的地址，他会写信给她。
15066	Tom baked some chocolate chip cookies.	汤姆烤了些巧克力脆饼。
3902	He couldn't wait to try out his new surfboard.	他迫不及待地想试一下他的新冲浪板。
11165	Tom isn't feeling very well.	湯姆感覺不太好。
12246	I am interested in this story.	我對這個故事感興趣。
21455	I don't know for certain when he will come.	我不知道他来这里的确切时间。
1800	Mastering a foreign language calls for patience.	精通一種外語需要耐心。
26634	I thought that you were listening.	我以为你在听。
25987	I can't bend my right arm.	我無法彎曲我的右手臂。
4252	Pride comes before a fall.	骄傲是失败的先行者。
19314	He vowed to give up smoking.	他发誓要戒烟。
25233	I hate the taste of ginger.	我讨厌姜味。
14116	I know her very well.	我非常了解她。
14812	Tom embraced his father.	汤姆拥抱了他的父亲。
16763	Tom and I wrote a book together.	湯姆跟我一起寫了一本書。
26841	I got five hours sleep last night.	我昨晚睡了五小时。
23797	I always walk to school.	我總是走路到學校。
9539	Tom searched inside the closet.	汤姆搜查了衣柜里面。
5933	Tom is always tired.	汤姆经常累。
6182	Cash donations will be accepted.	接受现金捐赠。
17612	To make matters worse, he isn't even conscious of annoying his neighbors.	让事情更糟糕的是，他没有注意到他打扰到了邻居。
26714	He wouldn't look at my proposal.	他不會考慮我的建議。
10132	My mother has a driver's license, but she doesn't drive a car.	我母亲有驾照，但是她不开车。
1094	You can't buy this medicine without a prescription.	那个药的话没有处方是买不到的。
23756	You should be careful not to become overconfident.	你要注意不要太自信。
609	She didn't have much money.	她沒有很多錢。
2365	Where is the longest tunnel in Japan?	日本最长的隧道在哪里？
24324	Who is that man?	那个男人是谁？
22756	Please don't say that.	请你不要说这个。
14109	It may or may not be true.	這可能是真的，也可能不是。
81	If you have time, let's go shopping.	要是你有空的话，我们就去购物吧。
1626	He lived in the center of London.	他住在倫敦市中心。
7816	The soldier gave water to me.	士兵給了我水。
25645	I don't agree with him.	我不同意他。
1639	I'm looking for a native speaker who could help me correct this essay.	我正在尋找可以幫我修改這篇論文的母語人士。
20827	Get down from there.	从那儿下来！
28182	Nobody will believe you.	没人会相信你。
11201	Everyone but Tom knew that he didn't need to do that.	除了汤姆以外任何人都知道他没必要这么做。
14820	They are making for the forest.	他们正向森林而去。
20671	Speaking English isn't easy.	說英語是不容易的。
28936	Write down the medicine you need on this piece of paper.	将你需要的药物写在这张纸上。
20129	I wish Tom would just go away.	我希望汤姆走开。
4306	She was ashamed of herself for her carelessness.	她为自己的粗心感到羞耻。
9406	What's happened to you?	你到底怎么回事啊？
23629	Tom is reading an essay.	湯姆在讀一篇短文。
21620	I always catch colds in the winter.	我在冬季總是感冒。
23848	Tom went there to learn French.	汤姆去那里学法语。
21456	She is very clever.	她很聰明。
6695	I'm from Boston.	他來自波士頓。
20011	Tom is very talented.	汤姆多才多艺。
12221	He must have said so without giving it much thought.	他一定没有多考虑就说了。
1378	The dog followed its master, wagging its tail.	狗搖著尾巴跟著主人。
27929	OK, you win.	行，你赢了。
8334	I'm staying at my aunt's.	我住在我姑姑家。
21915	I was lying earlier.	我之前在撒谎。
14325	Is there anything else you want to say?	你還有甚麽想說的？
12557	Possibly the factory will be closed down next week.	下周工厂可能会关。
19841	We really appreciate their effort.	我们真的感激他们的努力。
7524	He mistook me for an Englishman.	他误认为我是一个英国人。
21697	I want to get a haircut before I go on the trip.	我想在出發旅行前剪個頭髮。
17850	She asked me a question.	她問了我一個問題。
7436	Why didn't Tom need to go to Boston?	为什么汤姆不需要去波士顿？
12334	Tom doesn't want to talk about it.	汤姆不想谈这件事。
9285	There is no knowing what he will do next.	没有人知道他接下来会干什么。
9230	It is a lot of fun to drive a car.	開車很好玩。
16725	He likes baseball very much.	他非常喜欢棒球。
12970	He wrote me a letter.	他给我写了封信。
8940	Mary helped her mother with the cooking.	瑪麗幫她母親做飯。
26299	Did you enjoy yourself yesterday?	你昨天玩得開心嗎?
28009	The crow flew away.	這隻烏鴉飛走了。
14278	We must never confuse the two.	我们决不能混淆两者。
12299	Please give me a minute to explain.	请给我些时间来解释。
1	Pick up the pencil from the floor.	從地上撿起這支鉛筆。
5589	I have so many clothes I don't know what to wear tomorrow.	我有那么多衣服，以至于我不知道明天穿什么了。
17551	Let's start with Lesson Ten.	我们从第十课开始吧。
3767	I have to go home.	我该回家了。
2670	They are bitter enemies.	他們是仇敵。
27337	There's no money left in my bank account.	我的银行账户里没留下钱。
28008	You've overdone it.	你太过分了。
2105	By the way, what is your address?	对了，你的地址是什么?
1312	That's no big deal.	那没什么大不了的。
510	Thank you very much for your gift.	非常谢谢你的礼物。
7673	When I heard that song, it reminded me of when I was a kid.	我一聽到那首歌，就想起了我小的時候。
15270	He is watching TV.	他在看电视。
22183	He's my new friend.	他是我新交的朋友。
13681	He bought his daughter a new dress.	他買了新衣服給他的女兒。
8730	I am hers and she is mine.	我是她的，而她是我的。
9550	He abandoned all hope.	他放弃了所有希望。
22478	It's a pity you didn't come last night.	您昨晚沒來真是太可惜了！
21154	Don't try to intimidate me.	别想吓唬我。
28780	Agriculture consumes a great amount of water.	农业需要消耗的大量的水。
26282	We can't let them do that.	我们不能让他们那么做。
20074	It's about to rain.	天快要下雨了。
4491	This is a fake.	这是一个伪造品。
18212	Please keep me updated.	請通知我。
11277	I forgot to bring my I.D. card.	我忘了帶我的身份證。
15993	He likes to cook for his family.	他喜歡為家人做飯。
8920	She gave me access to her records.	她允許了我對她的訪問紀錄。
14792	The policeman took the thief by the arm.	警察抓著小偷的胳膊。
21213	It is ten o'clock by my watch.	我的手錶是十點鐘了。
3896	I lost my papers.	我的证件丢了。
19600	I know the girl playing tennis.	我認識這個打網球的女孩。
6509	His office is very close to mine.	他的辦公室跟我的非常近。
6256	He may not be happy.	他可能不高兴。
911	I'm sure you'll do great.	我相信你会做的很棒的。
20188	I wonder where Tom is planning to go to college.	我想知道汤姆计划去哪里上大学。
25941	Can you tell me how to get to the train station?	你可以告訴我要怎麼去火車站嗎?
1686	It's important to follow a strict diet.	重要的是要遵循嚴格的飲食控制。
20562	What we need is a little more time.	我们只需要再多一点时间。
8095	Will you have another slice of pie?	你要再來一塊餡餅嗎？
7340	After asking for my key at the front desk, I took the elevator to my floor.	我到櫃檯拿了鑰匙，然後就乘電梯去了我房間的樓層。
18013	I recognised him immediately.	我马上就认出了他。
19564	He did not speak unless spoken to.	除非有人跟他說話，他不說話。
15214	I saw them walking arm in arm.	我看见他们胳膊挽着胳膊地走路。
11138	They're all college students.	他們都是大學生。
10117	Tom knew Mary would come.	湯姆知道瑪麗會來。
3309	I always eat before going to school.	我总是在上学前先吃饭。
26073	I was expecting it!	我一直在期待着！
18358	Do you think Tom is too young?	你觉得汤姆是不是太嫩了？
3876	I wondered if her story was true.	我想知道她的故事是否是真的。
15362	I was amazed at his courage.	我對他的勇氣感到驚訝。
22266	How long do you plan to stay in this country?	你打算在这个国家待多久？
21382	They got married and settled near Boston.	他們結了婚並定居在波士頓附近。
2285	There's been a death in his family.	他的家不幸有人身亡。
21971	Tom is a very good person.	汤姆是个很好的人。
7899	She has a real knack for getting people to do what she wants.	她真的有本事让别人做她想做的事。
28221	It's four o'clock by my watch.	我表上是4点。
17601	It is not easy to distinguish good from evil.	区分善恶不容易。
16957	I thought he would come.	我以为他会来的。
9296	The box is too heavy to carry.	這個箱子太重了無法攜帶。
28439	Your brother got married, didn't he?	你哥哥結婚了，不是嗎？
11612	My grandfather likes to walk.	我爷爷喜欢步行。
22060	He replied that he did not know.	他回答说他不知道。
9798	We got an interesting piece of information.	我們得到了一份有趣的情報。
24544	I'll make you a new suit.	我會給你做一套新衣服。
22407	It's no use crying over spilt milk.	覆水難收。
7819	Do you have a car?	你有车吗？
17383	Tom doesn't think this is a coincidence.	汤姆不认为这是一个巧合。
2865	May I be the first to offer my congratulations.	希望我是第一个祝贺的人。
25809	He could not swim.	他不能游泳。
4304	Please serve him his meal first.	請先為他上菜。
27394	They armed themselves with guns.	他們用槍武裝自己。
16808	He is going to run for mayor.	他將競選市長。
10277	Let's meet in front of the theater.	讓我們在戲院前面碰面。
16163	He's rich, but he's not happy.	他很有钱，但不幸福。
27068	She seems to have known the secret.	她好像已經知道這個秘密了。
19549	People have two legs.	人有两只脚。
67	Buddhism had its beginnings in India.	佛教起源於印度。
16902	Have you already voted?	您已經投了票了嗎？
14731	What's her name?	她叫什麼名字？
25000	I'd like you to have an ultrasound.	我想讓你接受超聲檢查。
21635	It's likely that she'll succeed.	她很有可能会有所成就。
12650	I work in this building.	我在这栋楼里工作。
386	I don't want to get out of bed today.	我今天不想起床。
26027	Not every child likes apples.	不是每一个孩子都喜欢吃苹果。
3549	I really want to stop.	我真的想停下来。
22698	Do you regret marrying me?	你後悔跟我結婚嗎?
28022	There's a book about dancing on the desk.	桌子上有一本关于舞蹈的书。
27391	He stayed there a couple of days.	他在那裡待了幾天。
21704	I don't want to miss the exam.	我不想错过考试。
2873	He didn't study at all.	他根本就没有学习。
27183	We watched a baseball game on television.	我們看了電視上的棒球比賽。
14951	He went to Africa to see wild animals.	为了看野生动物，他去了非洲。
18175	I've enjoyed reading this novel.	我喜歡讀這本小說。
19239	What you said isn't true.	你说的不是真的。
6247	Will you listen to me for a few minutes?	您愿意听我说几分钟话吗？
6344	The boy who lives next door often comes home late.	隔壁的男孩常常晚回家。
3708	It's quite difficult to master French in 2 or 3 years.	两三年就想掌握法语是很困难的。
7792	They were busy working for social reforms.	他们忙于社会改革。
24195	She was sick in bed yesterday.	她昨天臥病在床。
29032	Do you want anything?	你想要什麼嗎？
16075	We had a good time playing chess.	我們下棋玩得很開心。
2144	Why do that now?	为什么现在做那个？
22606	It's just a cold.	只是感冒而已。
7803	They all looked for the lost child.	他們都在尋找這個失蹤的孩子。
24634	My blood pressure is low.	我的血压很低。
705	Please give me a cup of water.	請給我一杯水。
15223	In some countries, the punishment for treason can be life in prison.	在一些國家，叛國罪的懲罰可以是終身監禁。
1803	Tom wondered what he could do.	汤姆不知道他能做什么。
7551	There are seven continents on the earth.	地球上有七大洲。
10060	He's not good at remembering names.	他不善于记人名。
22646	She can assess investments very accurately.	她能很准确地评估投资。
27957	I fell asleep while reading.	我看书的时候睡着了。
18508	He has his own room.	他有自己的房间。
6878	My phone was out of order.	我的電話壞了。
26718	I often have bad dreams.	我经常做噩梦。
7429	Married people sometimes wish they were single.	已婚的人有時候希望他們是單身，。
26579	I want to study French.	我要学法语。
10646	I know how to solve the problem.	我知道怎么解决这个问题。
14807	I'll sauté a few sweet potatoes and sprinkle them with sugar.	我去炸一點紅薯，然後在上面撒上糖。
1350	Tom doesn't speak much French.	湯姆說法語說得不太好。
18867	Is there any chance that he'll recover?	他有任何復原的機會嗎？
25920	Where are your things?	你們的東西在哪裡？
25965	What kind of sandwich do you want?	你要什麼樣的三明治？
1974	Smoking is harmful to your health.	吸烟有害健康。
25238	Tom said he read a book about this ship.	Tom说他在这次的航行中读了一本书。
3749	Have you eaten yet?	你们吃饭了吗？
15412	It's on the tip of my tongue.	它在我的舌尖上。
26075	He got his wife to mend his shirt.	他让他的妻子补好衬衫。
26146	Tom made fun of me.	汤姆拿我开心。
19077	The light has turned green.	信号灯变绿了哟。
8527	I asked Tom to close the door.	我要求湯姆關門。
16071	I don't know anything about him.	我不知道任何有關他的事。
27103	If you eat that much, you'll have a stomachache.	那么吃的话，肚子会吃坏的噢。
12087	Did you buy juice?	你有買果汁嗎？
9862	Boys, as a rule, are taller than girls.	一般来说，男生会比女生高一些。
5877	I need to take a shower.	我需要洗个澡。
1046	I wanted to show it to you.	我想把它給你看。
3384	Tom was on TV last night.	汤姆昨晚上电视了。
2299	You're not me.	你不是我。
8911	Sorry, but can you show me the way to the next village?	能不能麻烦你告诉我去邻村怎么走？
15676	That wasn't my intention.	那不是我故意的。
11618	She liked him right off.	她立刻喜歡上他了。
10408	What's today's date?	今天幾號？
18626	He speaks French fluently.	他说法语说得很流利。
7774	I asked him to mend my shoes.	我請他修理我的鞋子。
692	I'm expecting someone.	我在等待着某个人。
27962	Could you show me that necktie?	你能給我看看這條領帶嗎？
18423	Do you trust her?	你相信她嗎?
3764	He amazed everyone by passing his driving test.	他通過駕駛考試的事讓每一個人都覺得驚訝。
111	If I were you, I'd do the same.	如果我是你，我也会这么做。
12542	I made an apple pie for you.	我做了一個蘋果派給你。
12695	Let's play basketball after school.	讓我們放學後打籃球。
6612	These must be fake.	這一定是假的。
12806	I'm folding my dress.	我在叠我的连衣裙。
17591	The amount of paper produced by a country is closely related to its cultural standards.	一个国家纸的产量和它的文明程度密切相关。
26152	I saw a light in the distance.	我看见远处有灯光。
15800	We felt the house shake a little.	我們感覺到房子搖動了一下。
8903	Her house is across the river.	她的房子在河的另一边。
11732	Two detectives followed the suspect.	两个侦探跟着嫌疑人。
19561	This desk takes up too much room.	這張桌子太佔空間了。
11087	Is it really worth it?	这真的值得吗？
25822	Did I leave my umbrella here?	我把雨伞落在这里了吗？
11132	We're very disappointed in you.	我们对你很失望。
8358	Don't go to extremes.	别走极端。
28823	She has blue eyes.	她眼睛是蓝色的。
7965	He rested for a while.	他休息了一会儿。
25557	Are you ready to order now?	您决定好要下订单了吗？
22730	He stopped reading the newspaper.	他停止了读报。
20096	Some of the money was stolen.	一部分钱被偷了。
11748	Tom is serving a life sentence.	汤姆正在服无期徒刑。
16679	I was able to find out his address.	我能找到他的地址。
21695	Do you need help?	你需要帮助吗？
27206	I think that I'm intelligent.	我觉得我很聪明。
2034	This apple is very red.	这只苹果非常红。
23801	Are you closer to your mother or to your father?	你和爸爸更亲还是妈妈更亲？
12289	I'm going downtown.	我进城去。
3123	I want to go to school.	我想去学校。
16337	He dipped his spoon into the soup.	他把他的湯匙浸入湯裡。
24218	Lend me your dictionary, please.	请把你的字典借给我。
7764	You have beautiful lips.	你的嘴唇很漂亮。
20779	Let's take a short break.	讓我們休息一會兒。
8208	Tom wants to know what we're doing here.	湯姆想知道我們在這裡做甚麼。
8008	Philosophy is not a thing one can learn in six months.	哲学不是我们用六个月就能学的东西。
3450	If you need my advice, I'd be glad to give it to you.	如果你需要我的建议，我很愿意告诉你。
25862	Tom doesn't know why Mary is absent.	汤姆不知道为什么玛丽缺席。
4614	Do you get along with your boss?	你跟老板合得来吗？
9178	Strangely enough, he failed.	很奇怪，他失败了。
19527	That's not a real diamond, is it?	那不是一颗真正的钻石，对吗？
17320	When is your bedtime?	你什么时候睡觉？
26827	I have a brother in Boston.	我有个在波士顿的兄弟。
16485	I'll ask Tom to wait.	我會請Tom等。
9566	He has decided to become a teacher.	他已經決定要成為一名教師。
9473	Let's go ahead and eat.	咱们去吃饭吧。
11921	They are at lunch.	他们在吃午饭。
2560	I can't believe that you love me.	我不能相信你愛我。
14559	I want you to read this book.	我想让你读这本书。
18088	Tom was on the list.	湯姆在名單上。
17006	That was the first time I'd seen Tom so angry.	那是我第一次见到汤姆如此生气。
6916	Will you use this?	你要用這東西嗎？
785	How did you like the party?	你覺得這個派對如何?
17406	If you get sleepy, just tell me.	困了的话就说哦。
5016	You'll never achieve anything if you don't study harder.	如果你不更加努力地學習, 你將永遠不會有所成就。
883	Who is that man?	那男人是谁？
27758	Do you know how to ride a horse?	你会骑马吗？
1927	I always eat out.	我總是在外面吃飯。
12795	Does this book belong to you?	這是你的書嗎？
23246	Our school begins at eight-thirty.	我們學校在八點半開始上課。
28241	He turned the key.	他转动钥匙。
25968	Tom's house has a nice garden.	湯姆的住宅有一個不錯的花園。
24144	I'll never tell anyone where I've hidden the treasure.	我不會告訴任何人我藏寶的地方。
28703	Can you think of something better?	你能想到更好的東西嗎？
10572	This is a picture of my family.	這是一張我的全家福照片。
25005	The girl was always following her mother.	那女孩不管到哪兒都跟著母親。
21052	Broccoli is one of the healthiest vegetables.	西蘭花是最健康的蔬菜之一。
2571	Will you be here tomorrow?	你明天在这里吗？
13235	She likes jazz, and I do, too.	她喜欢爵士乐，我也是。
10616	You're stepping into dangerous territory.	你進入了危險區。
23250	We want a new carpet.	我们想要一条新毯子。
26545	You've got a strong will.	你的意志力很強。
28962	She found employment as a typist.	她找到打字員的工作。
6622	It is the things that we do not possess which seem to us most desirable.	得不到的东西就最想得到。
19982	Some bugs were fixed.	一些程式錯誤被改正了。
19428	Tom is there alone.	Tom獨自在那。
28446	There is no film in this camera.	這個相機裡沒有膠片。
